Date,Close_price
10/19/2015 ,47447.31
10/20/2015 ,47076.55
10/21/2015 ,47025.87
10/22/2015 ,47772.14
10/23/2015 ,47596.59
10/26/2015 ,47209.32
10/27/2015 ,47042.95
10/28/2015 ,46740.85
10/29/2015 ,45628.35
10/30/2015 ,45868.82
11/3/2015 ,48053.67
11/4/2015 ,47710.1
11/5/2015 ,48046.76
11/6/2015 ,46918.52
11/9/2015 ,46194.92
11/10/2015 ,46206.57
11/11/2015 ,47065.01
11/12/2015 ,46883.58
11/13/2015 ,46517.04
11/16/2015 ,46846.87
11/17/2015 ,47247.8
11/18/2015 ,47435.58
11/19/2015 ,48138.89
11/23/2015 ,48150.27
11/24/2015 ,48284.19
11/25/2015 ,46866.64
11/26/2015 ,47145.63
11/27/2015 ,45872.92
11/30/2015 ,45120.36
12/1/2015 ,45046.75
12/2/2015 ,44914.53
12/3/2015 ,46393.26
12/4/2015 ,45360.76
12/7/2015 ,45222.7
12/8/2015 ,44443.26
12/9/2015 ,46108.03
12/10/2015 ,45630.71
12/11/2015 ,45262.72
12/14/2015 ,44747.31
12/15/2015 ,44872.47
12/16/2015 ,45015.85
12/17/2015 ,45261.48
12/18/2015 ,43910.6
12/21/2015 ,43199.95
12/22/2015 ,43469.52
12/23/2015 ,44014.93
12/28/2015 ,43764.34
12/29/2015 ,43653.97
12/30/2015 ,43349.96
1/4/2016 ,42141.04
1/5/2016 ,42419.32
1/6/2016 ,41773.14
1/7/2016 ,40694.72
1/8/2016 ,40612.21
1/11/2016 ,39950.49
1/12/2016 ,39513.83
1/13/2016 ,38944.44
1/14/2016 ,39500.11
1/15/2016 ,38569.13
1/18/2016 ,37937.27
1/19/2016 ,38057.01
1/20/2016 ,37645.48
1/21/2016 ,37717.11
1/22/2016 ,38031.22
1/26/2016 ,37497.48
1/27/2016 ,38376.37
1/28/2016 ,38630.19
1/29/2016 ,40405.99
2/1/2016 ,40570.04
2/2/2016 ,38596.17
2/3/2016 ,39588.82
2/4/2016 ,40821.74
2/5/2016 ,40592.09
2/10/2016 ,40376.58
2/11/2016 ,39318.3
2/12/2016 ,39808.05
2/15/2016 ,40092.89
2/16/2016 ,40947.7
2/17/2016 ,41630.82
2/18/2016 ,41477.63
2/19/2016 ,41543.41
2/22/2016 ,43234.85
2/23/2016 ,42437.26
2/24/2016 ,42084.56
2/25/2016 ,41887.9
2/26/2016 ,41593.08
2/29/2016 ,42793.86
3/1/2016 ,44121.79
3/2/2016 ,44893.48
3/3/2016 ,47193.39
3/4/2016 ,49084.87
3/7/2016 ,49246.1
3/8/2016 ,49102.14
3/9/2016 ,48665.09
